,red_text,black_text,color,temp,service
0,"## Служба в Светлое Христово Воскресение
",,red,1_1,
1,"## Во Святую и Великую Неделю Пасхи
",,red,,
2,"Об часе утреннем параекклисиарх взем благословение у настоятеля, исходит и ударяет в великое, и клеплет довольно. И вшед во храм, вжигает свещы вся, и кандила: устрояет же сосуды два со углием горящим, и влагает в них фимиама много благовоннаго, и поставляет един сосуд среди церкве, другий же во святом олтаре, яко да исполнится церковь вся благовония. Таже настоятель вшед во святый олтарь со иереи и диаконы, облачатся в весь светлейший сан. И раздает свещы братии, и вземлет Честный Крест: кадило же вземлет диакон. Иерей же святое Еванглие, ин иерей образ Воскресния Христова: и ставятся лицем на запад. И затворят врата церковная, яже к западу. Исходит настоятель со иереи в притвор северными дверьми, предыдущым пред ним диаконом со двема свещами, и оба лика поюще стихиру, глас 6:
",,red,,1_1_1
3,"Таже ударяют во вся кампаны и тяжкая, и клеплют довольно. И вшедше в притвор, станут со Еванглием, и со образом, лицем на запад, якоже указася прежде. Таже настоятель вземлет у диакона кадило в правую руку, Крест же в левую, и кадит образы, и клиросы, и братию по обычаю. Диакону же предносящу пред ним свещу горящу. Братия же вси стоят держаще свещы своя, со вниманием молящеся в себе, и благодаряще нас ради потрадавшаго и воскресшаго Христа Бога нашего. По скончании же каждения, приходит настоятель пред великия врата церкве, и покадит диакона предстоящаго ему со свещею. Тогда взем кадило диакон от руку настоятеля, и покадит самого настоятеля. И паки восприим настоятель кадило, став пред церковными дверьми, зря на восток, и назнаменает великия врата церкве, [затвореная суща], кадилом крестообразно, трижды, держя в левой руце Честный Крест, и светильником стоящым со обою страну.
",,red,,
4,,"Воскресние Твое Христе Спасе, Ангели поют на небесех, и нас на земли сподоби чистым сердцем Тебе славити.
",black,,
5,"И велегласно возгласит:
",,red,,
6,"И нам отвещающым:
",,red,,
7,,"Слава Святей, и Единосущней, и Животворящей, и Неразделимей Троице, всегда, ныне и присно, и во веки веков.
",black,,
8,"Начинает настоятель, с прочими служители, велегласно настоящий тропарь, во глас 5:
",,red,,
9,,"Аминь.
",black,,
10,"И мы тойжде поем подобне, со сладкопением. Поется же сей тропарь трижды от настоятеля, и трижды от нас.
",,red,,
11,,"Христос воскресе из мертвых, смертию смерть поправ, и сущым во гробех живот даровав.
",black,,
12,"Таже настоятель глаголет стихи:
",,red,,
13,"Первый стих:
",,red,,
14,"И на кийждо стих мы поем тропарь:
",,red,,
15,,"Да воскреснет Бог, и расточатся врази Его, и да бежат от Лица Его ненавидящии Его.
",black,,
16,"весь по единожды.
",,red,,
17,,"Христос воскресе:
",black,,
18,"Вторый стих:
",,red,,
19,"единожды.
",,red,,
20,,"Яко исчезает дым, да исчезнут, яко тает воск от лица огня. Христос воскресе:
",black,,
21,"Третий стих:
",,red,,
22,"единожды.
",,red,,
23,,"Тако да погибнут грешницы от Лица Божия, а праведницы да возвеселятся. Христос воскресе:
",black,,
24,"Четвертый стих:
",,red,,
25,"единожды.
",,red,,
26,,"Сей день егоже сотвори Господь, возрадуемся и возвеселимся вонь. Христос воскресе:
",black,,
27,"Слава:
",,red,,
28,"единожды.
",,red,,
29,,"Христос воскресе:
",black,,
30,"И ныне:
",,red,,
31,"единожды.
",,red,,
32,,"Христос воскресе:
",black,,
33,"Таже настоятель поет вышшим гласом:
",,red,,
34,"И отверзает врата.
",,red,,
35,,"Христос воскресе из мертвых, смертию смерть поправ.
",black,,
36,"Входит настоятель с Честным Крестом, предыдущым ему со двема лампадами:
",,red,,
37,"Таже ударяют во вся кампаны: и клеплют довольно, три звоны.
",,red,,
38,,"И братиям поющым: И сущым во гробех живот даровав.
",black,,
39,"Вшед же настоятель со иереи во святый олтарь. И диакон глаголет ектению великую:
",,red,,
40,"Возглас:
",,red,,
41,,"Миром Господу помолимся:
",black,,
42,"И начинает предстоятель канон, творение Господина иоанна дамаскина. Глас 1. Ирмос:
",,red,,
43,,"Яко подобает Тебе всякая слава:
",black,,
44,"И тропари на 12, с припевы:
",,red,,
45,,"Воскресния день: Ирмосы на 4:
",black,,
46,"И паки последи кийждо лик ирмос. Последи же на сходе катавасиа, ирмос тойже:
",,red,,
47,,"Христос воскресе из мертвых.
",black,,
48,"И по нем: Христос воскресе: весь трижды.Творит же начало канона на куюждо песнь всегда предстоятель, десной или левой стране случившейся начати. И кадит в начале канона святыя иконы, и оба лики и братию по чину. И по коейждо песни бывает ектениа малая вне олтаря, якоже рехом, во святый сей день. Возглас внутрь олтаря от иереа. По 1-й песни поет десная страна. По 3-й же поет левая. Сице поем и по прочих песнех.
",,red,,
49,,"Воскресния день:
",black,,
50,"Канон Пасхальный, глас 1:
",,red,,
51,"Песнь 1:
",,red,,
52,,"Пасхальный канон поется полностью хором: и ирмосы, и припевы, и тропари, и катавасии.
На каждой песни канона совершается каждение.
При соборном служении каждение совершают все иереи поочередно (а при большом числе иереев – попарно).
",black,,
53,"Ирмос:
",,red,,
54,,"Воскресения день, просветимся, людие. Пасха, Господня Пасха: от смерти бо к жизни, и от земли к небеси, Христос Бог нас преведе, победную поющия. 
",red,,
55,Четырежды,,red,,
56,"Припев:
",,red,,
57,,"Очистим чувствия, и узрим неприступным светом Воскресения, Христа блистающася, и радуйтеся, рекуща, ясно да услышим, победную поюще. 
",red,,
58,6 раз,,red,,
59,,"Небеса убо достойно да веселятся, земля же да радуется, да празднует же мир, видимый же весь и невидимый: Христос бо воста, веселие вечное. 
",red,,
60,6 раз,,red,,
61,"Таже, ектениа. И возглас:
",,red,,
62,,"Христос воскресе из мертвых.
",black,,
63,"Песнь 3:
",,red,,
64,,"Яко Твоя держава, и Твое есть Царство, и сила, и слава Отца, и Сына, и Святаго Духа, ныне и присно, и во веки веков.
",black,,
65,"Ирмос:
",,red,,
66,,"Приидите, пиво пием новое, не от камене неплодна чудодеемое, но нетления источник из гроба одождивша Христа, в Немже утверждаемся. 
",red,,
67,Четырежды,,red,,
68,,"Ныне вся исполнишася света, небо же и земля, и преисподняя: да празднует убо вся тварь востание Христово, в немже утверждается. 
",red,,
69,6 раз,,red,,
70,,"Вчера спогребохся Тебе Христе, совостаю днесь воскресшу Тебе, сраспинахся Тебе вчера, Сам мя спрослави Спасе во Царствии Твоем. 
",red,,
71,6 раз,,red,,
72,"Таже, ектениа. И возглас:
",,red,,
73,"Ипакои, глас 4:
",,red,,
74,,"Яко ты еси Бог наш, и Тебе славу возсылаем, Отцу, и Сыну, и Святому Духу ныне и присно, и во веки веков.
",black,,
75,"Хор:
",,red,,
76,"И чтение в Григории Богослове, егоже начало:
",,red,,
77,,"Предварившия утро яже о Марии, и обретшия камень отвален от гроба, слышаху от Ангела: во свете присносущнем Сущаго, с мертвыми что ищете, яко человека? Видите гробныя пелены, тецыте и миру проповедите, яко воста Господь, умертвивый смерть, яко есть Сын Бога, спасающаго род человеческий.
",black,,
78,"По чтении же паки вжигают свещы братия.
",,red,,
79,,"На стражи моей стану:
",black,,
80,"Песнь 4:
",,red,,
81,"Ирмос:
",,red,,
82,,"На Божественней стражи богоглаголивый Аввакум да станет с нами, и покажет светоносна Ангела, ясно глаголюща: днесь спасение миру, яко воскресе Христос, яко всесилен. 
",red,,
83,Четырежды,,red,,
84,,"Мужеский убо пол, яко разверзый девственную утробу, явися Христос: яко человек же, Агнец наречеся: непорочен же, яко невкусен скверны, наша Пасха, и яко Бог истинен совершен речеся. 
",red,,
85,4 раза,,red,,
86,,"Яко единолетный агнец, благословенный нам венец Христос, волею за всех заклан бысть, Пасха чистительная, и паки из гроба красное правды нам возсия Солнце. 
",red,,
87,4 раза,,red,,
88,,"Богоотец убо Давид пред сенным ковчегом скакаше играя, людие же Божии святии, образов сбытие зряще, веселимся Божественне, яко воскресе Христос, яко Всесилен. 
",red,,
89,4 раза,,red,,
90,"Ектениа, и возглас:
",,red,,
91,"Песнь 5:
",,red,,
92,,"Яко благ и человеколюбец Бог еси, и тебе славу возсылаем, Отцу, и Сыну, и Святому Духу, ныне и присно, и во веки веков.
",black,,
93,"Ирмос:
",,red,,
94,,"Утренюем утреннюю глубоку, и вместо мира песнь принесем Владыце, и Христа узрим правды Солнце, всем жизнь возсияюща.  
",red,,
95,Четырежды,,red,,
96,,"Безмерное Твое благоутробие, адовыми узами содержимии зряще, к свету идяху Христе, веселыми ногами, Пасху хваляще вечную. 
",red,,
97,6 раз,,red,,
98,,"Приступим свещеноснии, исходящу Христу из гроба, яко жениху, и спразднуем любопразднственными чинми Пасху Божию спасительную. 
",red,,
99,6 раза,,red,,
100,"Ектениа, и возглас:
",,red,,
101,"Хор:
",,red,,
102,,"Яко святися и прославися пречестное и великолепое имя Твое, Отца, и Сына, и Святаго Духа, ныне и присно, и во веки веков.
",black,,
103,"Песнь 6:
",,red,,
104,,"Аминь.
",black,,
105,"Ирмос:
",,red,,
106,,"Снизшел еси в преисподняя земли, и сокрушил еси вереи вечныя, содержащия связанныя, Христе, и тридневен, яко от кита Иона, воскресл еси от гроба. 
",red,,
107,Четырежды,,red,,
108,,"Сохранив цела знамения Христе, воскресл еси от гроба, ключи Девы не вредивый в рождестве Твоем, и отверзл еси нам райския двери. 
",red,,
109,6 раз,,red,,
110,,"Спасе мой, живое же и нежертвенное заколение, яко Бог Сам Себе волею привед Отцу, совоскресил еси всероднаго Адама, воскрес от гроба. 
",red,,
111,6 раз,,red,,
112,"Ектениа, и возглас:
",,red,,
113,"Таже кондак, глас 8:
",,red,,
114,,"Ты бо еси Царь мира, и Спас душ наших, и Тебе славу возсылаем, Отцу, и Сыну, и Святому Духу, ныне и присно, и во веки веков.
",black,,
115,"Икос:
",,red,,
116,,"Аще и во гроб снизшел еси, Безсмертне, но адову разрушил еси силу, и воскресл еси, яко победитель, Христе Боже, женам мироносицам вещавый: радуйтеся, и Твоим апостолом мир даруяй, падшим подаяй воскресение.
",black,,
117,"Синаксарь, во святую и великую Неделю Пасхи.
",,red,,
118,,"Еже прежде солнца Солнце зашедшее иногда во гроб, предвариша ко утру, ищущия яко дне мироносицы девы, и друга ко друзей вопияху: о другини! Приидите, вонями помажем тело живоносное и погребеное, плоть воскресившаго падшаго Адама, лежащую во гробе. Идем, потщимся якоже волсви, и поклонимся, и принесем мира яко дары, не в пеленах, но в плащанице обвитому, и плачим, и возопиим: о Владыко, востани, падшим подаяй воскресение.
",black,,
119,"Стихи:
",,red,,
120,"Таже глаголем:
",,red,,
