,red_text,black_text,color,temp,service
0,ΤΗΣ ΔΙΑΚΑΙΝΗΣΙΜΟΥ,,red,1,
1,Τῌ ΑΓΙᾼ ΚΑΙ ΜΕΓΑΛῌ ΚΥΡΙΑΚῌ ΤΟΥ ΠΑΣΧΑ ,,red,1_1,
2,ΕΩΘΙΝΟΝ Ζ' Ἦχος βαρὺς,,red,,temp
3,,"Ἰδοὺ σκοτία καὶ πρωΐ, καὶ τί πρὸς τὸ μνημεῖον Μαρία ἕστηκας, πολὺ σκότος ἔχουσα ταῑς φρεσίν; ὑφ' οὗ ποῦ τέθειται ζητεῖς ὁ Ἰησοῦς. Ἀλλ' ὅρα τοὺς συντρέχοντας Μαθητάς, πῶς τοῖς ὀθονίοις καὶ τῷ σουδαρίῳ, τὴν Ἀνάστασιν ἐτεκμήραντο, καὶ ἀνεμνήσθησαν τῆς περὶ τούτου Γραφῆς. Μεθ' ὧν, καὶ δι' ὧν καὶ ἡμεῖς, πιστεύσαντες, ἀνυμνοῦμέν σε τὸν ζωοδότην Χριστόν.",black,,
4,Ἦχος πλ. α',,red,,
5,"Δεῦτε λάβετε φῶς ἐκ τοῦ ἀνεσπέρου φωτός, καὶ δοξάσατε Χριστόν, τὸν ἀναστάντα ἐκ νεκρῶν.",,red,,
6,Ἦχος πλ. β',,red,,
7,,"Τὴν ἀνάστασίν σου, Χριστὲ Σωτήρ, Ἄγγελοι ὑμνοῦσιν ἐν οὐρανοῖς, καὶ ἡμᾶς τοὺς ἐπὶ γῆς καταξίωσον ἐν καθαρᾷ καρδίᾳ σὲ δοξάζειν.",black,,
8,"ΜΑΡΚΟΝ 16,1-8",,red,,
9,"Διαγενομένου τοῦ Σαββάτου, Μαρία ἡ Μαγδαληνὴ καὶ Μαρία ἡ τοῦ Ἰακώβου καὶ Σαλώμη ἠγόρασαν ἀρώματα, ἵνα ἐλθοῦσαι ἀλείψωσιν τὸν Ἰησοῦν. Καὶ λίαν πρωΐ τῇ μιᾷ τῶν σαββάτων ἔρχονται ἐπὶ τὸ μνημεῖον ἀνατείλαντος τοῦ ἡλίου. Καὶ ἔλεγον πρὸς ἑαυτάς, Τίς ἀποκυλίσει ἡμῖν τὸν λίθον ἐκ τῆς θύρας τοῦ μνημείου; καὶ ἀναβλέψασαι θεωροῦσιν ὅτι ἀποκεκύλισται ὁ λίθος, ἦν γὰρ μέγας σφόδρα. Καὶ εἰσελθοῦσαι εἰς τὸ μνημεῖον, εἶδον νεανίσκον καθήμενον ἐν τοῖς δεξιοῖς, περιβεβλημένον στολήν λευκήν, καὶ ἐξεθαμβήθησαν. ὁ δὲ λέγει αὐταῖς, Μὴ ἐκθαμβεῖσθε, Ἰησοῦν ζητεῖτε τὸν Ναζαρηνὸν τὸν ἐσταυρωμένον, ἠγέρθη, οὐκ ἔστιν ὦδε, ἴδε, ὁ τόπος ὅπου ἔθηκαν αὐτόν, ἀλλ' ὑπάγετε, εἴπατε τοῖς μαθηταῖς αὐτοῦ καὶ τῷ Πέτρῳ, ὅτι προάγει ὑμᾶς εἰς τὴν Γαλιλαίαν, ἐκεῖ αὐτὸν ὄψεσθε, καθὼς εἶπεν ὑμῖν. Καὶ ἐξελθοῦσαι ταχὺ ἔφυγον ἀπὸ τοῦ μνημείου, εἶχε δὲ αὐτὰς τρόμος καὶ ἔκστασις, καὶ οὐδενὶ οὐδὲν εἶπον, ἐφοβοῦντο γάρ.",,red,,
10,Τῌ ΑΓΙᾼ ΚΑΙ ΜΕΓΑΛῌ ΚΥΡΙΑΚῌ ΤΟΥ ΠΑΣΧΑ,,red,,
11,"Δόξα τῇ ἁγίᾳ, καὶ ὁμοουσίῳ, καὶ ζωοποιῷ, καὶ ἀδιαιρέτῳ Τριάδι πάντοτε, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,,
12,,Ἀμήν.,black,,
13,Ἦχος πλ. α',,red,,
14,"Χριστὸς ἀνέστη ἐκ νεκρῶν, θανάτῳ θάνατον πατήσας, καὶ τοῖς ἐν τοῖς μνήμασι, ζωὴν χαρισάμενος.",,red,,
15,"Λέγεται δὲ τοῦτο τρὶς ὑπὸ τοῦ Ἱερέως, καὶ τρὶς ὑπὸ τῶν Χορῶν ἄνευ στίχων. Εῖθ' οὕτω λέγει τοὺς ἑπομένους Στίχους ὁ Ἱερεὺς ἢ ὁ Διάκονος καθ' ἕκαστον δὲ Στίχον ψάλλεται ὁμοίως ὑπὸ τῶν Χορῶν τὸ αὐτὸ Τροπάριον.  Στίχ. α'",,red,,
16,"Ἀναστήτω ὁ Θεός, καὶ διασκορπισθήτωσαν οἱ ἐχθροὶ αὐτοῦ, καὶ φυγέτωσαν ἀπὸ προσώπου αὐτοῦ οἱ μισοῦντες αὐτόν.",,red,,
17,Στίχ. β',,red,,
18,"Ὡς ἐκλείπει καπνός, ἐκλιπέτωσαν, ὡς τήκεται κηρὸς ἀπὸ προσώπου πυρός.",,red,,
19,Στίχ. γ',,red,,
20,"Οὕτως ἀπολοῦνται οἱ ἁμαρτωλοὶ ἀπὸ προσώπου τοῦ Θεοῦ, καὶ οἱ δίκαιοι εὐφρανθήτωσαν.",,red,,
21,Στίχ. δ',,red,,
22,"Αὕτη ἡ ἡμέρα, ἣν ἐποίησεν ὁ Κύριος, ἀγαλλιασώμεθα, καὶ εὐφρανθῶμεν ἐν αὐτῇ.",,red,,
23,,Δόξα...,black,,
24,Χριστὸς ἀνέστη...,,red,,
25,,Καὶ νῦν...,black,,
26,"τὸ αὐτὸ Εἶτα ὁ Ἱερεύς, γεγονωτέρᾳ φωνῇ",,red,,
27,"Χριστὸς ἀνέστη ἐκ νεκρῶν, θανάτῳ θάνατον πατήσας...",,red,,
28,Ὁ Χορὸς,,red,,
29,,Καὶ τοῖς ἐν τοῖς μνήμασι ζωὴν χαρισάμενος.,black,,
30,"Ἐν εἰρήνῃ τοῦ Κυρίου δεηθῶμεν... Ὅτι πρέπει σοι, πᾶσα δόξα, τιμὴ καὶ προσκύνησις, τῷ Πατρὶ καὶ τῷ Υἱῷ καὶ τῷ Ἁγίῳ Πνεύματι, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,,
31,,Ἀμήν.,black,,
