,red_text,black_text,color,index
0,"## Служба в Светлое Христово Воскресение
",,temp,
1,"## Во Святу́ю и Вели́кую Неде́лю Па́схи
",,temp,
2,"<Об часе́ у́треннем параекклисиа́рх взе́м благослове́ние у настоя́теля, исхо́дит и ударя́ет в вели́кое, и кле́плет дово́льно. И вше́д во хра́м, вжига́ет свещы́ вся́, и канди́ла: устроя́ет же сосу́ды два́ со у́глием горя́щим, и влага́ет в ни́х фимиа́ма мно́го благово́ннаго, и поставля́ет еди́н сосу́д среди́ це́ркве, други́й же во свято́м олтаре́, я́ко да испо́лнится це́рковь вся́ благово́ния. Та́же настоя́тель вше́д во святы́й олта́рь со иере́и и диа́коны, облача́тся в ве́сь светле́йший са́н. И раздае́т свещы́ бра́тии, и взе́млет Честны́й Кре́ст: кади́ло же взе́млет диа́кон. Иере́й же свято́е Ева́нглие, и́н иере́й о́браз Воскре́сния Христо́ва: и ста́вятся лице́м на за́пад. И затворя́т врата́ церко́вная, я́же к за́паду. Исхо́дит настоя́тель со иере́и в притво́р се́верными две́рьми, предыду́щым пред ни́м диа́коном со двема́ свеща́ми, и о́ба ли́ка пою́ще стихи́ру, гла́с 6:>
",,red,
3,"<Та́же ударя́ют во вся́ кампа́ны и тя́жкая, и кле́плют дово́льно. И вше́дше в притво́р, ста́нут со Ева́нглием, и со о́бразом, лице́м на за́пад, я́коже указа́ся пре́жде. Та́же настоя́тель взе́млет у диа́кона кади́ло в пра́вую ру́ку, Кре́ст же в ле́вую, и кади́т о́бразы, и кли́росы, и бра́тию по обы́чаю. Диа́кону же преднося́щу пред ни́м свещу́ горя́щу. Бра́тия же вси́ стоя́т держа́ще свещы́ своя́, со внима́нием моля́щеся в себе́, и благодаря́ще на́с ра́ди потрада́вшаго и воскре́сшаго Христа́ Бо́га на́шего. По сконча́нии же кажде́ния, прихо́дит настоя́тель пред вели́кия врата́ це́ркве, и покади́т диа́кона предстоя́щаго ему́ со свеще́ю. Тогда́ взе́м кади́ло диа́кон от руку́ настоя́теля, и покади́т самого́ настоя́теля. И па́ки восприи́м настоя́тель кади́ло, ста́в пред церко́вными две́рьми, зря́ на восто́к, и назна́менает вели́кия врата́ це́ркве, [затворе́ная су́ща], кади́лом крестообра́зно, три́жды, держя́ в ле́вой руце́ Честны́й Кре́ст, и свети́льником стоя́щым со обою́ страну́.>
",,red,
4,,"Воскре́сние Твое́ Христе́ Спа́се, А́нгели пою́т на небесе́х, и на́с на земли́ сподо́би чи́стым се́рдцем Тебе́ сла́вити.
",black,0.0
5,"<И велегла́сно возгласи́т:>
",,red,
6,"<И на́м отвеща́ющым:>
",,red,
7,,"Сла́ва Святе́й, и Единосу́щней, и Животворя́щей, и Нераздели́мей Тро́ице, всегда́, ны́не и при́сно, и во ве́ки веко́в.
",black,0.0
8,"<Начина́ет настоя́тель, с про́чими служи́тели, велегла́сно настоя́щий тропа́рь, во гла́с 5:>
",,red,
9,,"Ами́нь.
",black,0.0
10,"<И мы́ то́йжде пое́м подо́бне, со сладкопе́нием. Пое́тся же се́й тропа́рь три́жды от настоя́теля, и три́жды от на́с.>
",,red,
11,,"Христо́с воскре́се из ме́ртвых, сме́ртию сме́рть попра́в, и су́щым во гробе́х живо́т дарова́в.
",black,0.0
12,"<Та́же настоя́тель глаго́лет стихи́:>
",,red,
13,"<Пе́рвый сти́х:>
",,red,
14,"<И на ки́йждо сти́х мы́ пое́м тропа́рь:>
",,red,
15,,"Да воскре́снет Бо́г, и расточа́тся врази́ Его́, и да бежа́т от Лица́ Его́ ненави́дящии Его́.
",black,0.0
16,"<ве́сь по еди́ножды.>
",,red,
17,,"Христо́с воскре́се:
",black,0.0
18,"<Вторы́й сти́х:>
",,red,
19,"<еди́ножды.>
",,red,
20,,"Я́ко исчеза́ет ды́м, да исче́знут, я́ко та́ет во́ск от лица́ огня́. Христо́с воскре́се:
",black,0.0
21,"<Тре́тий сти́х:>
",,red,
22,"<еди́ножды.>
",,red,
23,,"Та́ко да поги́бнут гре́шницы от Лица́ Бо́жия, а пра́ведницы да возвеселя́тся. Христо́с воскре́се:
",black,0.0
24,"<Четвертый стих:>
",,red,
25,"<еди́ножды.>
",,red,
26,,"Се́й де́нь его́же сотвори́ Госпо́дь, возра́дуемся и возвесели́мся во́нь. Христо́с воскре́се:
",black,0.0
27,"<Сла́ва:>
",,red,
28,"<еди́ножды.>
",,red,
29,,"Христо́с воскре́се:
",black,0.0
30,"<И ны́не:>
",,red,
31,"<еди́ножды.>
",,red,
32,,"Христо́с воскре́се:
",black,0.0
33,"<Та́же настоя́тель пое́т вы́шшим гла́сом:>
",,red,
34,"<И отверза́ет врата́.>
",,red,
35,,"Христо́с воскре́се из ме́ртвых, сме́ртию сме́рть попра́в.
",black,0.0
36,"<Вхо́дит настоя́тель с Честны́м Кресто́м, предыду́щым ему́ со двема́ лампа́дами:>
",,red,
37,"<Та́же ударя́ют во вся́ кампа́ны: и кле́плют дово́льно, три́ зво́ны.>
",,red,
38,,"И бра́тиям пою́щым: И су́щым во гробе́х живо́т дарова́в.
",black,0.0
39,"<Вше́д же настоя́тель со иере́и во святы́й олта́рь. И диа́кон глаго́лет ектению́ вели́кую:>
",,red,
40,"<Возгла́с:>
",,red,
41,,"Ми́ром Го́споду помо́лимся:
",black,0.0
42,"<И начина́ет предстоя́тель кано́н, творе́ние Господи́на иоа́нна дамаскина́. Гла́с 1. Ирмо́с:>
",,red,
43,,"Я́ко подоба́ет Тебе́ вся́кая сла́ва:
",black,0.0
44,"<И тропари́ на 12, с припе́вы:>
",,red,
45,,"Воскре́сния де́нь: Ирмосы́ на 4:
",black,0.0
46,"<И па́ки последи́ ки́йждо ли́к ирмо́с. Последи́ же на схо́де катава́сиа, ирмо́с то́йже:>
",,red,
47,,"Христо́с воскре́се из ме́ртвых.
",black,0.0
48,"<И по не́м: Христо́с воскре́се: ве́сь три́жды.Твори́т же нача́ло кано́на на ку́юждо пе́снь всегда́ предстоя́тель, десно́й или́ ле́вой стране́ случи́вшейся нача́ти. И кади́т в нача́ле кано́на святы́я ико́ны, и о́ба ли́ки и бра́тию по чи́ну. И по ко́ейждо пе́сни быва́ет ектениа́ ма́лая вне́ олтаря́, я́коже ре́хом, во святы́й се́й де́нь. Возгла́с вну́трь олтаря́ от иере́а. По 1-й пе́сни пое́т десна́я страна́. По 3-й же пое́т ле́вая. Си́це пое́м и по про́чих пе́снех.>
",,red,
49,,"Воскре́сния де́нь:
",black,0.0
50,"<Канон Пасхальный, глас 1:>
",,red,
