 ,red_text,black_text,color,temp
0,ΠΑΣΧΑ,,red,temp
1,ΕΩΘΙΝΟΝ Ζ' Ἦχος βαρὺς,,red,temp
2,,"Ἰδοὺ σκοτία καὶ πρωΐ, καὶ τί πρὸς τὸ μνημεῖον Μαρία ἕστηκας, πολὺ σκότος ἔχουσα ταῑς φρεσίν; ὑφ' οὗ ποῦ τέθειται ζητεῖς ὁ Ἰησοῦς. Ἀλλ' ὅρα τοὺς συντρέχοντας Μαθητάς, πῶς τοῖς ὀθονίοις καὶ τῷ σουδαρίῳ, τὴν Ἀνάστασιν ἐτεκμήραντο, καὶ ἀνεμνήσθησαν τῆς περὶ τούτου Γραφῆς. Μεθ' ὧν, καὶ δι' ὧν καὶ ἡμεῖς, πιστεύσαντες, ἀνυμνοῦμέν σε τὸν ζωοδότην Χριστόν.",black,
3,Ἦχος πλ. α',,red,
4,"Δεῦτε λάβετε φῶς ἐκ τοῦ ἀνεσπέρου φωτός, καὶ δοξάσατε Χριστόν, τὸν ἀναστάντα ἐκ νεκρῶν.",,red,
5,Ἦχος πλ. β',,red,
6,,"Τὴν ἀνάστασίν σου, Χριστὲ Σωτήρ, Ἄγγελοι ὑμνοῦσιν ἐν οὐρανοῖς, καὶ ἡμᾶς τοὺς ἐπὶ γῆς καταξίωσον ἐν καθαρᾷ καρδίᾳ σὲ δοξάζειν.",black,
7,"ΜΑΡΚΟΝ 16,1-8",,red,temp
8,"Διαγενομένου τοῦ Σαββάτου, Μαρία ἡ Μαγδαληνὴ καὶ Μαρία ἡ τοῦ Ἰακώβου καὶ Σαλώμη ἠγόρασαν ἀρώματα, ἵνα ἐλθοῦσαι ἀλείψωσιν τὸν Ἰησοῦν. Καὶ λίαν πρωΐ τῇ μιᾷ τῶν σαββάτων ἔρχονται ἐπὶ τὸ μνημεῖον ἀνατείλαντος τοῦ ἡλίου. Καὶ ἔλεγον πρὸς ἑαυτάς, Τίς ἀποκυλίσει ἡμῖν τὸν λίθον ἐκ τῆς θύρας τοῦ μνημείου; καὶ ἀναβλέψασαι θεωροῦσιν ὅτι ἀποκεκύλισται ὁ λίθος, ἦν γὰρ μέγας σφόδρα. Καὶ εἰσελθοῦσαι εἰς τὸ μνημεῖον, εἶδον νεανίσκον καθήμενον ἐν τοῖς δεξιοῖς, περιβεβλημένον στολήν λευκήν, καὶ ἐξεθαμβήθησαν. ὁ δὲ λέγει αὐταῖς, Μὴ ἐκθαμβεῖσθε, Ἰησοῦν ζητεῖτε τὸν Ναζαρηνὸν τὸν ἐσταυρωμένον, ἠγέρθη, οὐκ ἔστιν ὦδε, ἴδε, ὁ τόπος ὅπου ἔθηκαν αὐτόν, ἀλλ' ὑπάγετε, εἴπατε τοῖς μαθηταῖς αὐτοῦ καὶ τῷ Πέτρῳ, ὅτι προάγει ὑμᾶς εἰς τὴν Γαλιλαίαν, ἐκεῖ αὐτὸν ὄψεσθε, καθὼς εἶπεν ὑμῖν. Καὶ ἐξελθοῦσαι ταχὺ ἔφυγον ἀπὸ τοῦ μνημείου, εἶχε δὲ αὐτὰς τρόμος καὶ ἔκστασις, καὶ οὐδενὶ οὐδὲν εἶπον, ἐφοβοῦντο γάρ.",,red,
9,Τῌ ΑΓΙᾼ ΚΑΙ ΜΕΓΑΛῌ ΚΥΡΙΑΚῌ ΤΟΥ ΠΑΣΧΑ,,red,
10,"Δόξα τῇ ἁγίᾳ, καὶ ὁμοουσίῳ, καὶ ζωοποιῷ, καὶ ἀδιαιρέτῳ Τριάδι πάντοτε, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,
11,,Ἀμήν.,black,
12,Ἦχος πλ. α',,red,
13,"Χριστὸς ἀνέστη ἐκ νεκρῶν, θανάτῳ θάνατον πατήσας, καὶ τοῖς ἐν τοῖς μνήμασι, ζωὴν χαρισάμενος.",,red,
14,"Λέγεται δὲ τοῦτο τρὶς ὑπὸ τοῦ Ἱερέως, καὶ τρὶς ὑπὸ τῶν Χορῶν ἄνευ στίχων. Εῖθ' οὕτω λέγει τοὺς ἑπομένους Στίχους ὁ Ἱερεὺς ἢ ὁ Διάκονος καθ' ἕκαστον δὲ Στίχον ψάλλεται ὁμοίως ὑπὸ τῶν Χορῶν τὸ αὐτὸ Τροπάριον.  Στίχ. α'",,red,
15,"Ἀναστήτω ὁ Θεός, καὶ διασκορπισθήτωσαν οἱ ἐχθροὶ αὐτοῦ, καὶ φυγέτωσαν ἀπὸ προσώπου αὐτοῦ οἱ μισοῦντες αὐτόν.",,red,
16,Στίχ. β',,red,
17,"Ὡς ἐκλείπει καπνός, ἐκλιπέτωσαν, ὡς τήκεται κηρὸς ἀπὸ προσώπου πυρός.",,red,
18,Στίχ. γ',,red,
19,"Οὕτως ἀπολοῦνται οἱ ἁμαρτωλοὶ ἀπὸ προσώπου τοῦ Θεοῦ, καὶ οἱ δίκαιοι εὐφρανθήτωσαν.",,red,
20,Στίχ. δ',,red,
21,"Αὕτη ἡ ἡμέρα, ἣν ἐποίησεν ὁ Κύριος, ἀγαλλιασώμεθα, καὶ εὐφρανθῶμεν ἐν αὐτῇ.",,red,
22,,Δόξα...,black,
23,Χριστὸς ἀνέστη...,,red,
24,,Καὶ νῦν...,black,
